source_id,title,url,category,department,date_accessed,access_type,notes
S001,UIC Undergraduate Catalog - University Degree Requirements and Graduation,https://catalog.uic.edu/ucat/degree-programs/univ-degree-requirements-graduation/,Degree Requirements,UIC Catalog,2026-06-03,Public,University-level degree and graduation requirements
S002,UIC Undergraduate Catalog - Academic Standing,https://catalog.uic.edu/ucat/degree-programs/academic-standing/,Academic Standing,UIC Catalog,2026-06-03,Public,Academic standing and probation rules
S003,UIC Undergraduate Catalog - Course Information,https://catalog.uic.edu/ucat/course-descriptions/,Course Information,UIC Catalog,2026-06-03,Public,Course descriptions and prerequisite information
S004,UIC Undergraduate Catalog - General Education,https://catalog.uic.edu/ucat/degree-programs/general-education/,General Education,UIC Catalog,2026-06-03,Public,General education requirements
S005,UIC Registrar Calendars,https://registrar.uic.edu/current-students/calendars/,Registration Deadlines,Office of the Registrar,2026-06-03,Public,Academic calendar and registrar calendar links
S006,UIC Admissions - Transferology Step By Step,https://admissions.uic.edu/uic-admissions/undergraduate/requirements-deadlines/transfer-requirements/transferology-step-step,Transfer Credit,UIC Admissions,2026-06-03,Public,Transferology instructions for checking how courses transfer to UIC
S007,UIC Office of International Services - Enrollment Requirements,https://ois.uic.edu/immigration/international-student-enrollment-requirements/,International Student Restrictions,Office of International Services,2026-06-03,Public,F-1 and J-1 enrollment requirements
S008,UIC Office of International Services - F-1 Leave of Absence,https://ois.uic.edu/immigration/f-1-student/f-1-leave-of-absence/,International Student Restrictions,Office of International Services,2026-06-03,Public,F-1 leave of absence and full-time enrollment maintenance information
S009,UIC Catalog - College of Engineering,https://catalog.uic.edu/ucat/colleges-depts/engineering/,College Requirements,UIC Catalog,2026-06-03,Public,College of Engineering undergraduate requirements and policies
S010,UIC Catalog - BS in Computer Science,https://catalog.uic.edu/ucat/colleges-depts/engineering/cs/bs-cs/,Major Requirements,UIC Catalog,2026-06-03,Public,Official BS in Computer Science degree requirements
