question_id,question,category,gold_answer,source_id,source_url,risk_level,answer_type,notes
Q001,How many credit hours are generally required to earn a bachelor's degree at UIC?,Degree Requirements,"UIC bachelor's degrees generally require completion of the required degree program credit hours. Students should check their specific college and major requirements because requirements can vary by program.",S001,https://catalog.uic.edu/ucat/degree-programs/univ-degree-requirements-graduation/,Medium,Conditional,"General degree requirement question"
Q002,Where can I find UIC's general education requirements?,General Education,"UIC general education requirements are listed in the undergraduate catalog. Students should review the official General Education section and their college or major requirements.",S004,https://catalog.uic.edu/ucat/degree-programs/general-education/,Low,Direct,"Source points to official general education page"
Q003,Where can I check how my transfer courses may transfer to UIC?,Transfer Credit,"Students can use UIC's Transferology information to check how courses may transfer to UIC. Final applicability to degree requirements may still depend on UIC evaluation and the student's program.",S006,https://admissions.uic.edu/uic-admissions/undergraduate/requirements-deadlines/transfer-requirements/transferology-step-step,Medium,Conditional,"Transfer equivalency may require official evaluation"
Q004,Can an international student drop below full-time enrollment without approval?,International Student Restrictions,"International students should not drop below full-time enrollment without proper authorization. They should consult UIC Office of International Services before dropping below full-time status.",S007,https://ois.uic.edu/immigration/international-student-enrollment-requirements/,High,Conditional,"High risk because it may affect visa status"
Q005,Where can I find UIC academic standing rules?,Academic Standing,"UIC academic standing rules are listed in the undergraduate catalog's Academic Standing section. Students should review the official policy and contact their college advisor for student-specific cases.",S002,https://catalog.uic.edu/ucat/degree-programs/academic-standing/,Medium,Direct,"Academic standing can affect registration and progress"
Q006,Where can I find official BS in Computer Science degree requirements at UIC?,Major Requirements,"The official BS in Computer Science degree requirements are available in the UIC Undergraduate Catalog under the Computer Science department page.",S010,https://catalog.uic.edu/ucat/colleges-depts/engineering/cs/bs-cs/,Medium,Direct,"Major-specific requirement source"
Q007,Where can engineering students find undergraduate advising information?,Academic Advising,"Engineering students can use the UIC College of Engineering undergraduate advising page for advising information and should contact the appropriate advising office for personal academic planning.",S014,https://engineering.uic.edu/undergraduate/advising/,Low,Direct,"General advising source"
Q008,Where can students find UIC registration policies and procedures?,Registration,"UIC registration policies and procedures are published by the Office of the Registrar. Students should use the official registrar page for registration-related rules.",S012,https://registrar.uic.edu/registration/policies-procedures/,Medium,Direct,"Registration rules can affect course enrollment"
Q009,Where can I find information about UIC graduation and diplomas?,Graduation Requirements,"UIC graduation and diploma information is published by the Office of the Registrar. Students should review the official graduation page and verify deadlines with the registrar or advisor.",S013,https://registrar.uic.edu/student-records/graduation/,Medium,Direct,"Graduation-related official source"
Q010,Where can I find UIC registration time ticket information?,Registration Deadlines,"UIC advance registration time ticket information is available on the Registrar's time ticket schedule page.",S017,https://registrar.uic.edu/current-students/calendars/time-ticket-schedule/,Medium,Direct,"Registration timing question"
